epoch,MAP,MRR
1,0.543050498876556,0.544825296128192
2,0.556549835438757,0.557863296451576
3,0.553927103640162,0.555140987907291
4,0.564080166558176,0.566124506522749
5,0.565608254751538,0.567326953336179
6,0.566018259395818,0.568110368821767
7,0.56533672180292,0.567252699546778
8,0.574149957019952,0.576119067451843
9,0.572019076589905,0.573939720014216
10,0.570299086798778,0.57216764236578
11,0.574520305557597,0.576412680087907
12,0.572494732544133,0.57401702144966
13,0.57926016607775,0.580903588153227
14,0.56973638334915,0.571283773068911
15,0.580843440356326,0.58238819249624
16,0.575131171058088,0.576440475053508
17,0.576082003242861,0.577814812427939
18,0.576011917321822,0.577709235815847
19,0.579027965148491,0.580599451005987
20,0.575894500040954,0.577550006236542
21,0.581486394409699,0.583290114330306
22,0.58116001881207,0.582728891999265
23,0.580695537101358,0.582181164276211
24,0.580677731254149,0.582186159753355
25,0.571405279665652,0.573174173465413
26,0.579697062292557,0.581378747694555
27,0.560263890668706,0.562137290133073
28,0.57424687346098,0.576472718881759
29,0.564975255455247,0.566923042794232
30,0.574825094166907,0.576890537901864
31,0.558767797495005,0.560456457987514
32,0.573083431102391,0.575398025476169
33,0.563611239738914,0.565123731665512
34,0.572439137642551,0.574987736571173
35,0.570995500477198,0.572660758324547
36,0.567237156116424,0.569259303800318
37,0.580333434988509,0.58186279394081
38,0.569144606762968,0.571169013626589
ensemble,0.580078944788596,0.58
